name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2013-07-01,34.5,18.9,26.1,33.1,18.9,25.5,8.1,33.1,0.068,100,4.17,rain,0,0,57.2,28.7,11.9,1014.6,31.5,22.4,353.7,30.6,10,,2013-07-01T06:48:21,2013-07-01T21:48:46,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-02,33.1,20,26.6,31.4,20,26,10.8,39.5,0.017,100,4.17,rain,0,0,,16.6,200.3,1014.8,47.3,25.1,337.4,29,10,,2013-07-02T06:48:52,2013-07-02T21:48:38,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-03,35.5,17.9,27.7,34.7,17.9,27.1,10.1,34.6,0,0,0,,0,0,,18.3,10.2,1017,42.1,25,360.5,31.2,10,,2013-07-03T06:49:23,2013-07-03T21:48:27,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-04,36.1,21.1,28.7,35.4,21.1,28.3,13.6,42.3,0,0,0,,0,0,44.3,22.9,37.2,1018.9,13.7,27.9,361.7,31.4,10,,2013-07-04T06:49:56,2013-07-04T21:48:14,0.87,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-05,37,21.2,29.5,36.2,21.2,28.9,9.4,29.1,0,0,0,,0,0,33.5,22.3,94.7,1020.1,6.3,27.7,361.2,31.4,10,,2013-07-05T06:50:31,2013-07-05T21:48:00,0.9,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-06,36.2,21.3,29.5,35.1,21.3,28.7,10.1,31.1,0,0,0,,0,0,55.4,11.3,124.3,1020.6,6.8,28.2,362.9,31.5,10,,2013-07-06T06:51:07,2013-07-06T21:47:43,0.94,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-07,37.2,20.6,29.9,35.8,20.6,29,9.7,30.2,0,0,0,,0,0,,13,107.9,1019.8,4,30,362.7,31.4,10,,2013-07-07T06:51:44,2013-07-07T21:47:25,0.97,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-08,38.2,20.4,29.8,37.5,20.4,28.9,9,28.5,0,0,0,,0,0,,14.8,43.2,1018.2,5.8,30.7,364,31.6,10,,2013-07-08T06:52:22,2013-07-08T21:47:04,0,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-09,36.5,21.4,29.2,36.3,21.4,28.7,11.6,35,0.119,100,4.17,rain,0,0,33.5,19.5,130.6,1015.8,27.9,21.8,339.8,29.3,10,,2013-07-09T06:53:02,2013-07-09T21:46:41,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2013-07-10,35.5,18.7,26.9,35,18.7,26.5,12.1,41.5,0.094,100,4.17,rain,0,0,46.6,22,125.5,1013,39.2,22.5,340.8,29.4,10,,2013-07-10T06:53:42,2013-07-10T21:46:17,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
