name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2006-01-01,9.9,4.5,7.8,6.8,2.4,5,-1,54.6,0.207,100,8.33,rain,0,0,,25.6,284.2,1020.1,55.5,14.7,,,,,2006-01-01T08:38:01,2006-01-01T17:58:44,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-02,10.1,0.3,5.4,10.1,-1.3,3.4,-0.9,65.1,0,0,0,,0,0,,21.6,316.7,1024.7,37.2,13.7,,,,,2006-01-02T08:38:08,2006-01-02T17:59:34,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-03,11.4,1.8,6.1,11.4,-0.2,4.2,-1.2,61.2,0.008,100,4.17,rain,0,0,,28.6,7,1026,31.8,14,,,,,2006-01-03T08:38:12,2006-01-03T18:00:27,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-04,10.7,-1.6,4.7,10.7,-1.6,4,-1.3,67.3,0,0,0,,0,0,,17.6,320.2,1020.8,29,13.1,,,,,2006-01-04T08:38:13,2006-01-04T18:01:20,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-05,9.5,0.6,4.9,7.3,0.6,3.9,0.8,75.8,0.014,100,4.17,"rain,snow",0,0,,14.7,192.9,1013.8,49.9,12.4,,,,,2006-01-05T08:38:13,2006-01-05T18:02:15,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-06,6.4,2.3,4.8,4.7,0.8,3.2,3.7,92.6,6.877,100,25,rain,0,0,,13,121.1,1008.9,87.6,7.1,,,,,2006-01-06T08:38:10,2006-01-06T18:03:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-07,6.9,3.8,5.2,5,0.9,3,3.3,87.9,22.763,100,25,rain,0,0,,13.7,14,1011.8,92.9,8.9,,,,,2006-01-07T08:38:05,2006-01-07T18:04:10,0.26,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-08,8,4.8,6.5,8,3.2,6,3.5,81.3,0,0,0,,0,0,,10.3,3.8,1016.8,88.2,14,,,,,2006-01-08T08:37:58,2006-01-08T18:05:09,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-09,7.6,4,6.1,6.8,3,5.4,3.6,83.9,0.034,100,8.33,rain,0,0,,10.6,224.3,1023.4,86.5,11.4,,,,,2006-01-09T08:37:48,2006-01-09T18:06:09,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2006-01-10,7,2.8,4.7,4.5,-1.6,1.4,0.7,75.5,0.082,100,4.17,rain,0,0,,22.3,39.1,1024.5,83.5,13.3,,,,,2006-01-10T08:37:37,2006-01-10T18:07:10,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08226099999,08213099999,08219099999,08223099999,08215099999"
