name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2021-01-01,6.1,0.9,3.5,2.2,-3.8,-0.2,-1.4,72.1,0.972,100,20.83,"rain,snow",0.1,0.5,83.5,29.3,284.4,1010.9,56.1,14.2,59.5,5.3,2,,2021-01-01T08:38:03,2021-01-01T17:59:02,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-02,5.6,-0.4,1.9,2.2,-5.3,-1.5,-6.3,55.5,0,0,0,,0,0.5,56.5,23.2,304.4,1014.8,36.9,17.5,32,2.8,2,,2021-01-02T08:38:08,2021-01-02T17:59:53,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-03,7.6,-2.5,2.1,4.5,-6.1,-0.7,-4.4,63.3,0,0,0,,0,0.5,34.2,22.5,248.1,1016.4,21.2,17.5,58.1,5,2,,2021-01-03T08:38:11,2021-01-03T18:00:46,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-04,6.3,-1.1,2.5,3.2,-5,-0.7,-3.9,63.8,0,0,0,,0,0.5,28.1,19.4,261.4,1012.6,38.8,17.1,50.5,4.3,2,,2021-01-04T08:38:12,2021-01-04T18:01:40,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-05,5.9,-2.7,0.8,5.2,-5.6,-0.1,-4.3,69.7,0,0,0,,0,0.5,22.3,8.2,250.6,1013.4,9,16.9,62,5.4,2,,2021-01-05T08:38:11,2021-01-05T18:02:36,0.72,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-06,6.4,-2.6,1.2,5,-4,0.2,-5.4,62.6,0,0,0,,0,0.5,19.1,7.8,21.3,1014.4,29.4,17,59.1,5.1,2,,2021-01-06T08:38:07,2021-01-06T18:03:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-07,1.6,-0.5,0.7,-0.9,-4.2,-2.1,-3.4,75,2.025,100,33.33,"rain,snow",0,0.5,24.8,11.2,19.7,1013.9,85.4,13.4,7.3,0.7,0,,2021-01-07T08:38:02,2021-01-07T18:04:31,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-08,0.8,-1.1,-0.1,-2.4,-5.3,-3.8,-2.6,84.4,11.656,100,45.83,"rain,snow",0.3,0.6,38.9,18.7,19.8,1010.1,91.1,8.9,12.9,1.1,1,,2021-01-08T08:37:54,2021-01-08T18:05:30,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-09,1.2,-1.4,-0.5,0.2,-7.3,-4.2,-0.7,98.3,47.306,100,83.33,"rain,snow",0.3,0.9,58.3,21.8,37.4,1005.4,91.8,2.9,20.3,1.6,1,,2021-01-09T08:37:43,2021-01-09T18:06:31,0.87,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"08221099999,LEMD,LEVS,08226099999,08219099999,08213099999,08223099999,08222099999,D9945,08220099999,08215099999"
Madrid,2021-01-10,3.6,-0.8,1.2,2.1,-3.6,-1.1,-0.8,87.1,1.17,100,54.17,"rain,snow",0.1,1.2,44.6,18.2,26.1,1013.2,73.4,15.2,58.9,5.2,3,,2021-01-10T08:37:31,2021-01-10T18:07:33,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"08221099999,08224099999,LEMD,LEVS,08219099999,08213099999,08223099999,08222099999,D9945,08220099999,08215099999"
