name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2018-07-01,27.2,18.6,23,27.1,18.6,23,12.3,52,0.095,100,4.17,rain,0,0,32.6,16.3,246.2,1009,41.4,21,255.6,21.8,8,,2018-07-01T06:48:16,2018-07-01T21:48:49,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-02,27.3,16.2,21.9,27.1,16.2,21.9,10.9,51,0,0,0,,0,0,35.3,19,237.2,1013.5,17,20.5,339.2,29.2,10,,2018-07-02T06:48:46,2018-07-02T21:48:41,0.64,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
Madrid,2018-07-03,30.5,14.8,23.3,29.9,14.8,23,11,48.6,0,0,0,,0,0,26.8,12.6,238.5,1015.1,6.1,17.7,323.8,28.1,9,,2018-07-03T06:49:17,2018-07-03T21:48:30,0.67,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08215099999,08220099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08223099999,08222099999"
Madrid,2018-07-04,27.1,16.3,22.5,26.3,16.3,22.4,8.1,41.1,0,0,0,,0,0,,27.1,238,1014.9,12.6,17.9,335.2,29,10,,2018-07-04T06:49:50,2018-07-04T21:48:18,0.71,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2018-07-05,29.1,15.3,22.5,27.7,15.3,22.3,8.4,42.5,0,0,0,,0,0,,14.2,329.6,1018.9,34.8,18,324,27.9,10,,2018-07-05T06:50:24,2018-07-05T21:48:04,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2018-07-06,31.4,17,24.4,29.8,17,24,10.2,43,0,0,0,,0,0,20.9,12.3,332.5,1018,35.5,17.9,301.4,26.2,9,,2018-07-06T06:51:00,2018-07-06T21:47:48,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08215099999,08220099999,08221099999,08227099999,LEMD,LEVS,08226099999,LETO,08213099999,08223099999,08222099999"
Madrid,2018-07-07,33,19.6,26.6,32.6,19.6,26.3,12.4,42.5,0,0,0,,0,0,23.8,11.3,64.4,1014.5,50.7,19.8,301.4,26,9,,2018-07-07T06:51:37,2018-07-07T21:47:30,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-08,33.7,21,27.3,33.6,21,27.1,13.8,44.8,0,0,0,,0,0,26.9,17.8,46.7,1014.8,29.6,21.3,297.4,25.5,9,,2018-07-08T06:52:15,2018-07-08T21:47:09,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-09,33.9,20.6,27.8,34.2,20.6,27.6,14,44.3,0,0,0,,0,0,31.2,16.6,18.5,1015,22.2,21.2,314,27.2,10,,2018-07-09T06:52:54,2018-07-09T21:46:47,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-10,34.5,21.2,27.8,34.7,21.2,27.7,13.9,43.6,0,0,0,,0,0,37.6,19.7,33.4,1013.7,21.6,20.9,306.1,26.3,10,,2018-07-10T06:53:35,2018-07-10T21:46:23,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
Madrid,2018-07-11,32.7,21.4,27,32.1,21.4,26.7,13.2,44,0,0,0,,0,0,35,20.2,307.4,1010.7,26.2,21.1,320.2,27.7,9,,2018-07-11T06:54:16,2018-07-11T21:45:57,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-12,32.2,19.4,26.3,31.8,19.4,26,13,45.2,0,0,0,,0,0,28.2,16,37.2,1010.8,14.9,21.2,296.4,25.5,9,,2018-07-12T06:54:59,2018-07-12T21:45:29,0.98,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-13,32.6,21,26.8,33.2,21,26.8,14.5,48.6,0,0,0,,0,0,31.7,17.3,100.5,1012.6,30.3,18.1,270.3,23.4,8,,2018-07-13T06:55:42,2018-07-13T21:44:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
Madrid,2018-07-14,32.5,20.1,26.7,31.3,20.1,26.3,11.8,41.4,0,0,0,,0,0,31,19.5,222.9,1013.3,1,20.8,323,27.7,9,,2018-07-14T06:56:27,2018-07-14T21:44:26,0.04,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-15,29.1,17.3,23.9,28.4,17.3,23.8,10.3,43.1,0,0,0,,0,0,39.7,25.8,244.4,1013.9,18.9,20.5,286.1,24.6,8,,2018-07-15T06:57:13,2018-07-15T21:43:52,0.08,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,08226099999,LETO,08213099999,08222099999,08223099999,D9945"
Madrid,2018-07-16,29.5,17.5,23.5,29,17.5,23.3,11.3,47.2,0,0,0,,0,0,29.9,19.1,296.5,1015.3,28.9,20.9,334.7,29.1,9,,2018-07-16T06:57:59,2018-07-16T21:43:17,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
Madrid,2018-07-17,33.2,18.6,26.1,32.5,18.6,25.7,12.1,44,0,0,0,,0,0,26.5,14.6,42.7,1013.8,1.9,20.9,316.9,27.3,9,,2018-07-17T06:58:47,2018-07-17T21:42:39,0.15,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
