name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2008-07-18,34.4,17.3,26.7,32.4,17.3,25.8,9,36,0,0,0,,0,0,,14.8,41.1,1016.9,5.1,20.5,,,,,2008-07-18T06:59:54,2008-07-18T21:41:42,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-19,36.8,20.3,28.6,35.4,20.3,28,11,35.5,0,0,0,,0,0,,14.8,74.4,1016.4,15.4,19,,,,,2008-07-19T07:00:43,2008-07-19T21:41:00,0.54,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-20,34.8,21.1,29.2,32.6,21.1,28.1,9.9,31.8,0,0,0,,0,0,,23.2,240.6,1016.8,19,19.4,,,,,2008-07-20T07:01:33,2008-07-20T21:40:16,0.57,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-21,34.4,20.6,27.6,32.8,20.6,27,10.3,35.4,0.003,100,4.17,rain,0,0,,19.5,351.5,1018.5,14.7,19.2,,,,,2008-07-21T07:02:24,2008-07-21T21:39:30,0.61,Rain,Clear conditions throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-22,35.3,17.5,26.3,33,17.5,25.4,4.4,25.5,0,0,0,,0,0,,20.3,20.4,1021,0.1,19.9,,,,,2008-07-22T07:03:16,2008-07-22T21:38:42,0.64,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-23,37.6,19.2,28.3,35.8,19.2,27.6,8.2,29.8,0,0,0,,0,0,,20.3,254.5,1017.6,11.8,18.5,,,,,2008-07-23T07:04:08,2008-07-23T21:37:53,0.68,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-24,32,20.5,27.5,29.8,20.5,26.5,3.4,23.3,0,0,0,,0,0,,27.2,220.1,1014.5,19.1,18.8,,,,,2008-07-24T07:05:01,2008-07-24T21:37:01,0.72,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-25,31,16.3,25.1,29.9,16.3,24.6,8.5,35.8,0,0,0,,0,0,,17.2,267.6,1014.5,19.2,20.6,,,,,2008-07-25T07:05:54,2008-07-25T21:36:08,0.75,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-26,31.8,17.4,25.8,30.4,17.4,25.3,10.9,41.9,0,0,0,,0,0,,19.2,248.3,1015.7,24.2,21.2,,,,,2008-07-26T07:06:48,2008-07-26T21:35:14,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-27,33.7,17.5,26.6,31.4,17.5,25.7,7.4,32.4,0,0,0,,0,0,,21.3,243.7,1016.4,7.7,20.6,,,,,2008-07-27T07:07:42,2008-07-27T21:34:18,0.82,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-28,31.5,17.4,25.8,29.6,17.4,25.2,7.5,33.3,0,0,0,,0,0,,27.4,221.8,1015.6,12.9,19.8,,,,,2008-07-28T07:08:37,2008-07-28T21:33:20,0.86,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-29,33.9,16.6,25.6,31.6,16.6,24.7,4.9,28.2,0,0,0,,0,0,,17.8,253,1015.4,8.8,20.2,,,,,2008-07-29T07:09:32,2008-07-29T21:32:20,0.89,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-30,33.8,16.6,26,31.3,16.6,25.1,4.5,28.6,0,0,0,,0,0,,19.1,240.1,1016.9,6.9,19.5,,,,,2008-07-30T07:10:27,2008-07-30T21:31:19,0.93,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-31,33.6,15,25.9,31.6,15,25.1,5.6,28.3,0,0,0,,0,0,,22.8,247.4,1017.8,10.2,20,,,,,2008-07-31T07:11:23,2008-07-31T21:30:17,0.96,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-01,33.1,18.9,26.4,31,18.9,25.7,9.4,36.7,0,0,0,,0,0,,15.6,332.3,1018.7,28.2,20.3,,,,,2008-08-01T07:12:19,2008-08-01T21:29:13,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-02,34.7,19.1,27.3,32.9,19.1,26.5,6.7,27.6,0,0,0,,0,0,,13.4,47.6,1021.1,8.5,20.2,,,,,2008-08-02T07:13:16,2008-08-02T21:28:07,0.03,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-03,36.7,21.8,29.2,35.1,21.8,28.5,10.6,33.2,0,0,0,,0,0,,14,73.4,1019.4,11.2,20.3,,,,,2008-08-03T07:14:13,2008-08-03T21:27:00,0.06,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-04,38.4,21.3,30.5,36.8,21.3,29.6,10.3,30.4,0,0,0,,0,0,,16.5,227.5,1016.8,10.4,20.6,,,,,2008-08-04T07:15:10,2008-08-04T21:25:52,0.1,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-05,37.2,21.8,30,35.5,21.8,29,9.5,29.6,0,0,0,,0,0,,24.3,256.3,1015.5,14.4,18.9,,,,,2008-08-05T07:16:07,2008-08-05T21:24:42,0.13,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-06,36.1,19.7,28.4,34,19.7,27.4,7.4,28.3,0,0,0,,0,0,,27.1,252.2,1013.9,29.7,19.3,,,,,2008-08-06T07:17:04,2008-08-06T21:23:30,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-07,32.5,20.6,27.5,30.3,20.6,26.5,4.3,23.8,0,0,0,,0,0,,21.6,250.7,1013.3,35.6,20.2,,,,,2008-08-07T07:18:02,2008-08-07T21:22:18,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-08,32.1,17.5,25,30,17.5,24.3,6.8,34.1,0,0,0,,0,0,,18.9,10.1,1016.1,8.8,20.3,,,,,2008-08-08T07:18:59,2008-08-08T21:21:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-08-09,34,18,26,32.3,18,25.4,10.4,39.7,0,0,0,,0,0,,15.4,14.9,1017.2,17.7,20.7,,,,,2008-08-09T07:19:57,2008-08-09T21:19:49,0.26,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-08-10,35.3,19.3,28,33.4,19.3,27.1,7.4,28.2,0,0,0,,0,0,,23.5,253.9,1013.7,13.8,20.1,,,,,2008-08-10T07:20:55,2008-08-10T21:18:33,0.29,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
