name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2011-01-01,11.9,4.7,8,11.9,3.2,7.6,5.5,85.6,0.36,100,4.17,rain,0,0,,9.7,329.6,1020.1,77.4,10.2,41.3,3.5,2,,2011-01-01T08:37:59,2011-01-01T17:58:34,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-02,12.6,4.8,8.5,12.6,2.6,8.2,4.5,77.9,0.031,100,8.33,rain,0,0,25.9,15.3,55.3,1019.5,62.8,9.9,97.3,8.4,5,,2011-01-02T08:38:05,2011-01-02T17:59:24,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-03,9,-0.3,4.1,7.4,-0.3,3.7,1.8,85.9,0,0,0,,0,0,,9.9,199.7,1020.7,21.1,15.6,104.1,9.1,4,,2011-01-03T08:38:10,2011-01-03T18:00:16,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-04,7.3,4.1,5.8,7,2.4,4.8,5,94.8,0.008,100,4.17,rain,0,0,29.5,13,214.9,1019.4,89.9,5.8,45.9,4,2,,2011-01-04T08:38:12,2011-01-04T18:01:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-05,9.4,6.4,8,8.7,5.1,6.6,7,93,0.101,100,8.33,rain,0,0,37.1,15.6,194.3,1015.1,89.6,8.8,53.3,4.7,3,,2011-01-05T08:38:12,2011-01-05T18:02:04,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-06,14.3,9,11.5,14.3,7.8,11.2,9.5,88.3,1.203,100,16.67,rain,0,0,44.3,27.1,195.2,1013,89.3,11.5,65.3,5.6,4,,2011-01-06T08:38:10,2011-01-06T18:03:00,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-07,12.1,8.4,10.3,12.1,6.4,9.5,7.6,84.1,1.783,100,12.5,rain,0,0,76,21,187.1,1015.1,79.5,11.8,28.2,2.4,1,,2011-01-07T08:38:05,2011-01-07T18:03:58,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-08,11.2,8.3,9,11.2,5.8,7.5,7.4,89.7,13.524,100,25,rain,0,0,31.3,19.9,178.2,1016.9,81.2,11.9,75,6.5,4,,2011-01-08T08:37:58,2011-01-08T18:04:56,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-09,9,6.3,7.8,8.7,4.2,6.8,6.8,93,6.548,100,16.67,rain,0,0,,16.2,211.6,1017.4,86.2,12,70.8,6,4,,2011-01-09T08:37:49,2011-01-09T18:05:56,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-10,7.4,2.8,5.6,7.4,1,3.8,4.9,94.9,1.222,100,12.5,rain,0,0,46.4,19.4,225.4,1022.4,81,8.1,94,8.2,5,,2011-01-10T08:37:38,2011-01-10T18:06:58,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-11,14.2,6.6,10.1,14.2,4.1,8.8,6.6,80,3.724,100,8.33,rain,0,0,40.7,25.8,250.5,1023.5,61.6,14.4,99.2,8.5,5,,2011-01-11T08:37:25,2011-01-11T18:08:00,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-12,15.9,4.1,8.9,15.9,4.1,8.8,5.7,82.3,0.885,100,4.17,rain,0,0,,6.2,325,1028.6,18.3,13.9,88.1,7.6,5,,2011-01-12T08:37:09,2011-01-12T18:09:03,0.25,Rain,Clear conditions throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-13,13.7,3.1,7.3,13.7,2.5,6.9,5.4,89.2,0,0,0,,0,0,,9.2,28.7,1027,22.1,8.7,85.5,7.3,4,,2011-01-13T08:36:51,2011-01-13T18:10:08,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-14,14.9,1.9,7.2,14.9,0.8,6.8,4.3,84.5,0,0,0,,0,0,,9.4,318.1,1025,4.6,8.1,103.6,9,5,,2011-01-14T08:36:31,2011-01-14T18:11:13,0.32,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-15,14.5,1.4,6.9,14.5,0.9,6.6,3.1,80,0,0,0,,0,0,24.1,9.4,359.2,1028.1,1.1,11.7,111.9,9.6,5,,2011-01-15T08:36:09,2011-01-15T18:12:19,0.36,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-16,14,1.3,6.4,14,-0.3,5.9,3.2,82.2,0,0,0,,0,0,,8.2,346.7,1028.6,0.8,11.7,117.5,10,5,,2011-01-16T08:35:44,2011-01-16T18:13:26,0.39,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-17,6.7,1.3,4.1,6.7,1,4,3.7,96.8,0,0,0,,0,0,,6.3,18.2,1030.4,69.8,2.5,74.8,6.5,4,,2011-01-17T08:35:18,2011-01-17T18:14:34,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
Madrid,2011-01-18,11.2,4.1,6.9,11.2,3.6,6.9,4.8,87.6,0.008,100,4.17,rain,0,0,,6.1,17.5,1026.8,72.3,5.7,61.6,5.3,3,,2011-01-18T08:34:49,2011-01-18T18:15:42,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08227099999,08224099999,LEMD,LEGT,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
