name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2016-01-01,14.1,7.8,10.3,14.1,7.4,10.3,8.4,88.3,1.581,100,45.83,rain,0,0,85.3,21.4,203.6,1021.4,82.7,12.2,41.9,3.6,2,,2016-01-01T08:37:55,2016-01-01T17:58:23,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-02,11.3,4.2,8.2,11.3,3.4,6.6,4.6,79.7,0.5,100,16.67,rain,0,0,85.3,24.6,248.2,1021.7,50.4,15.5,68.6,5.9,4,,2016-01-02T08:38:02,2016-01-02T17:59:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-03,11.5,1.9,6.5,11.5,0.6,4.6,5.6,93.6,0.174,100,25,rain,0,0,90.7,29.5,212.9,1017.3,80.8,10,55.3,4.9,3,,2016-01-03T08:38:07,2016-01-03T18:00:04,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-04,13.9,7.8,11.9,13.9,5.4,11.6,10.4,90.7,4.014,100,79.17,rain,0,0,120.6,49.3,232.4,1005.1,94.4,10.7,50,4.3,2,,2016-01-04T08:38:10,2016-01-04T18:00:57,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-05,9,5.3,7,5.9,0.8,3.7,0.7,65.3,3.104,100,37.5,rain,0,0,51.8,28.8,272.3,1008.2,35.6,17.1,71.6,6.4,3,,2016-01-05T08:38:10,2016-01-05T18:01:52,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-06,8.8,1.4,4.9,4.8,-3.2,0.9,1.9,81.6,0.177,100,25,rain,0,0,107.6,31.7,224.8,1016.3,52.6,15.6,40.5,3.5,2,,2016-01-06T08:38:09,2016-01-06T18:02:48,0.88,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-07,14.2,8.8,11.7,14.2,4.8,11.1,9.8,88.4,0.033,100,8.33,rain,0,0,113,37.1,224.3,1014.9,88.7,15.8,76.9,6.8,4,,2016-01-07T08:38:05,2016-01-07T18:03:45,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-08,13.3,10.1,11.5,13.3,10.1,11.5,9.9,89.9,1.484,100,54.17,rain,0,0,77.8,27,197,1011.4,91.4,12.4,58.4,5.1,2,,2016-01-08T08:37:58,2016-01-08T18:04:43,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-09,11.2,7.9,9.5,11.2,5.5,8.1,7.5,88,9.221,100,45.83,rain,0,0,76,32.7,218,1009.8,86.3,12.1,101.7,8.7,5,,2016-01-09T08:37:50,2016-01-09T18:05:43,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-10,11.8,9.1,10.3,11.8,6,9.2,8.2,87.2,3.09,100,50,rain,0,0,88.9,42.4,207.9,1008.8,93.2,12.6,70.7,6,3,,2016-01-10T08:37:39,2016-01-10T18:06:44,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-11,11.6,6.5,9.2,11.6,3.1,7.4,6.1,81.1,12.586,100,54.17,rain,0,0,100.1,35.4,235.3,1011.3,70.9,12.7,94.5,8.1,4,,2016-01-11T08:37:26,2016-01-11T18:07:46,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-12,9.8,2.1,6,7.5,0.1,3.7,1.9,75.8,0.003,100,4.17,rain,0,0,,17.2,240,1023,28.3,15.7,107.7,9.3,5,,2016-01-12T08:37:11,2016-01-12T18:08:49,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-13,10.6,-0.2,4.3,10.6,-2.1,3.9,1.3,82.4,0.003,100,4.17,rain,0,0,33.5,8.5,16.3,1026.8,38.9,17.1,103,8.7,5,,2016-01-13T08:36:54,2016-01-13T18:09:53,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-14,8.3,1.6,5.3,6.8,0,3.7,4.4,94.3,1.019,100,37.5,rain,0,0,83.5,17.3,267.2,1020.8,91.6,8.4,68.4,6,3,,2016-01-14T08:36:34,2016-01-14T18:10:58,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-15,9.7,3,6.9,8,0,4.8,1.1,69.7,0.113,100,12.5,rain,0,0,,24.2,5,1023.9,48.1,12.6,122.2,10.6,5,,2016-01-15T08:36:12,2016-01-15T18:12:04,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-16,9.5,-0.5,4.2,7.9,-2.9,2.2,-4.1,56.4,0,0,0,,0,0,,27.9,358.7,1031.3,8.6,19.1,126,10.8,5,,2016-01-16T08:35:48,2016-01-16T18:13:11,0.23,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-17,7.4,-3.2,2,7.4,-5.9,0.9,-2.9,71.4,0.012,100,4.17,rain,0,0,25.9,10.4,270.7,1028.2,41.2,21.4,101.4,8.8,5,,2016-01-17T08:35:22,2016-01-17T18:14:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-18,10,2.1,5.9,10,-0.8,3.6,1.8,75.7,0.155,100,25,rain,0,0,88.9,24,235.3,1019.4,60.1,14.8,87.7,7.6,4,,2016-01-18T08:34:54,2016-01-18T18:15:27,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-19,9,1,5,8.4,-0.6,4.2,1,75.7,0,0,0,,0,0,37.1,13.8,202.5,1019,44.1,17.1,47.1,4.2,2,,2016-01-19T08:34:23,2016-01-19T18:16:36,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-20,8.9,0,4.9,8.9,-0.8,4.7,2.8,86.7,0,0,0,,0,0,,8.4,319.1,1018.6,76.5,9.5,47.3,4.3,2,,2016-01-20T08:33:51,2016-01-20T18:17:46,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-21,7.9,3.8,5.6,7.9,2.7,5.5,4.6,93.3,0.003,100,4.17,rain,0,0,,6.9,10.7,1023.3,91.6,5.4,57.9,4.9,3,,2016-01-21T08:33:16,2016-01-21T18:18:56,0.41,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-22,10.9,6,8.3,10.9,4.5,7.9,7.3,94.1,0.493,100,20.83,rain,0,0,,10.4,0.7,1030.2,97.2,3.8,47.9,4.2,2,,2016-01-22T08:32:40,2016-01-22T18:20:07,0.44,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08213099999,08223099999,08215099999"
Madrid,2016-01-23,17.8,8,11.4,17.8,7.4,11.1,8.8,85.5,0.465,100,8.33,rain,0,0,,9.3,3.8,1033.6,70.4,11.7,95.3,8.1,4,,2016-01-23T08:32:01,2016-01-23T18:21:18,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-24,18.7,5,10.8,18.7,3.8,10.5,7.5,82.2,0,0,0,,0,0,,8,352.6,1032.5,5.9,17.3,127.5,11.1,5,,2016-01-24T08:31:21,2016-01-24T18:22:30,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-25,16.6,5,10,16.6,3.3,9.4,7,82.7,0,0,0,,0,0,,11.5,359.1,1030.9,63.1,14.3,86.9,7.6,4,,2016-01-25T08:30:38,2016-01-25T18:23:42,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-26,15.2,4.8,8.7,15.2,3.5,8.5,6.7,88.1,0,0,0,,0,0,,14.2,347.6,1031,28.1,8.7,122.7,10.7,5,,2016-01-26T08:29:54,2016-01-26T18:24:54,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-27,9.7,6.5,8.2,9.7,5.4,7.9,7.4,94.4,0,0,0,,0,0,,12,116.2,1030.1,86.7,3.5,105.3,8.9,5,,2016-01-27T08:29:07,2016-01-27T18:26:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-28,9,6.8,7.7,7.5,5.4,6.6,6.6,92.6,1.07,100,29.17,rain,0,0,40.7,14.8,196.3,1029.5,93.4,7.3,44.8,3.8,2,,2016-01-28T08:28:19,2016-01-28T18:27:20,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-29,10.5,6.7,8.1,10.5,4.6,7.1,5.9,86.1,3.641,100,41.67,rain,0,0,,11,21.4,1032.3,87.8,14.1,107,9.3,5,,2016-01-29T08:27:29,2016-01-29T18:28:33,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-30,13.2,3.4,7.9,13.2,2,7.2,4.8,81.6,0,0,0,,0,0,,18.6,276.1,1033.9,58.2,18.3,118.9,10.3,5,,2016-01-30T08:26:37,2016-01-30T18:29:46,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-01-31,16.1,4.1,9.2,16.1,3.3,8.6,5.7,80.2,0,0,0,,0,0,44.6,16.8,7.8,1034,50.7,13.8,113.5,9.7,4,,2016-01-31T08:25:43,2016-01-31T18:31:00,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-02-01,17.4,3.2,9.2,17.4,2,8.6,5.7,80.8,0,0,0,,0,0,,10.5,333.7,1033.2,12.8,15.6,125.9,10.9,6,,2016-02-01T08:24:48,2016-02-01T18:32:13,0.75,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-02-02,14.2,2.9,7.9,14.2,1.4,7.4,5.7,86.9,0,0,0,,0,0,,8.9,351.2,1029,24.3,8.1,97.8,8.5,4,,2016-02-02T08:23:51,2016-02-02T18:33:27,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-02-03,14.7,5.1,8.9,14.7,2.7,7.9,1.8,65.4,0,0,0,,0,0,33.5,22.8,19.2,1030.8,45.3,16.6,150.6,13,6,,2016-02-03T08:22:52,2016-02-03T18:34:40,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-02-04,12.5,1.4,6.2,12.5,-1,4.7,-1.5,60,0,0,0,,0,0,,14.8,41.4,1035.5,7.1,22.5,157,13.6,6,,2016-02-04T08:21:52,2016-02-04T18:35:54,0.87,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
Madrid,2016-02-05,12.2,-0.8,4.9,12.2,-3.5,4.1,0.8,76.2,0,0,0,,0,0,,11.2,27.2,1029.4,38.2,17.9,82.7,7.2,4,,2016-02-05T08:20:49,2016-02-05T18:37:08,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
